Age,ShoulderWidth,Waist,Hips,TotalHeight,Size
4,27.94,55.88,55.88,99.06,S
12,33.02,66.04,68.58,124.46,S
15,43.18,43.18,60.96,144.78,S
13,30.48,60.96,63.5,127.0,S
12,35.56,27.94,35.56,127.0,S
11,33.02,30.48,35.56,124.46,S
13,40.64,33.02,71.12,132.08,S
7,30.48,58.42,58.42,109.22,S
5,27.94,53.34,58.42,99.06,S
7,27.94,53.34,53.34,99.06,S
5,30.48,53.34,53.34,104.14,S
7,27.94,55.88,53.34,78.74,S
6,27.94,53.34,50.8,81.28,S
7,27.94,53.34,50.8,78.74,S
5,30.48,53.34,66.04,101.6,S
5,27.94,53.34,58.42,86.36,S
6,33.02,55.88,60.96,99.06,S
17,27.94,63.5,45.72,149.86,S
5,38.1,58.42,58.42,109.22,S
13,20.32,35.56,73.66,58.42,S
2,38.1,48.26,50.8,81.28,S
10,30.48,35.56,73.66,58.42,S
10,30.48,60.96,66.04,114.3,S
13,15.24,45.72,76.2,149.86,S
10,27.94,5.08,66.04,114.3,S
4,43.18,55.88,55.88,101.6,S
13,38.1,45.72,76.2,149.86,S
4,38.1,50.8,53.34,93.98,S
