Age,ShoulderWidth,Waist,Hips,TotalHeight,Size
20,55.88,53.34,53.34,114.3,M
35,45.72,45.72,55.88,121.92,S
32,40.64,50.8,45.72,78.74,M
31,53.34,53.34,48.26,152.4,S
20,45.72,45.72,43.18,127.0,S
19,53.34,45.72,50.8,124.46,M
18,45.72,48.26,53.34,83.82,S
24,53.34,73.66,55.88,99.06,S
22,48.26,55.88,50.8,119.38,S
21,50.8,35.56,45.72,134.62,S
26,40.64,43.18,43.18,104.14,S
18,38.1,40.64,38.1,132.08,S
27,40.64,48.26,35.56,121.92,S
29,50.8,50.8,50.8,129.54,S
30,45.72,48.26,48.26,101.6,S
20,53.34,50.8,45.72,139.7,M
5,33.02,33.02,30.48,76.2,S
25,43.18,50.8,50.8,127.0,M
3,25.4,20.32,17.78,50.8,S
7,35.56,35.56,30.48,76.2,S
50,53.34,68.58,76.2,127.0,S
16,40.64,38.1,40.64,132.08,S
5,30.48,15.24,20.32,78.74,S
20,45.72,50.8,50.8,132.08,S
4,25.4,20.32,17.78,53.34,S
23,38.1,50.8,25.4,129.54,S
17,40.64,17.78,27.94,132.08,S
13,40.64,25.4,35.56,101.6,S
18,43.18,22.86,27.94,116.84,S
2,15.24,27.94,17.78,53.34,S
3,27.94,22.86,17.78,76.2,S
7,33.02,17.78,30.48,91.44,S
14,40.64,22.86,25.4,109.22,S
20,43.18,25.4,25.4,116.84,S
31,43.18,27.94,25.4,116.84,S
12,40.64,27.94,25.4,142.24,S
6,25.4,25.4,25.4,104.14,S
3,48.26,15.24,30.48,88.9,S
27,50.8,25.4,35.56,101.6,S
26,43.18,27.94,30.48,132.08,S
36,38.1,17.78,33.02,106.68,S
31,40.64,15.24,27.94,177.8,S
25,45.72,25.4,35.56,142.24,S
4,33.02,35.56,38.1,81.28,S
27,45.72,53.34,55.88,144.78,M
2,22.86,22.86,25.4,58.42,S
9,38.1,38.1,40.64,88.9,S
60,55.88,76.2,86.36,139.7,M
18,43.18,40.64,45.72,144.78,S
4,35.56,22.86,25.4,81.28,S
22,43.18,53.34,55.88,139.7,M
2,22.86,22.86,25.4,58.42,S
24,25.4,53.34,27.94,134.62,S
19,43.18,22.86,30.48,142.24,S
15,43.18,27.94,38.1,127.0,S
19,45.72,25.4,33.02,121.92,S
3,20.32,25.4,22.86,58.42,S
4,30.48,27.94,22.86,81.28,S
8,30.48,20.32,33.02,101.6,S
16,43.18,25.4,30.48,119.38,S
21,45.72,33.02,33.02,127.0,S
32,45.72,30.48,30.48,152.4,S
14,43.18,27.94,30.48,109.22,S
7,40.64,30.48,30.48,96.52,S
4,25.4,25.4,25.4,104.14,S
29,45.72,30.48,38.1,137.16,S
28,45.72,25.4,40.64,116.84,S
35,48.26,35.56,38.1,182.88,S
30,45.72,38.1,38.1,162.56,S
24,43.18,33.02,38.1,144.78,S
30,45.72,81.28,40.64,162.56,S
3,27.94,93.98,58.42,55.88,S
20,45.72,93.98,71.12,116.84,S
34,50.8,104.14,60.96,149.86,S
35,53.34,71.12,60.96,144.78,S
12,35.56,83.82,68.58,144.78,S
30,45.72,66.04,50.8,162.56,S
15,35.56,58.42,38.1,127.0,S
18,45.72,86.36,71.12,203.2,S
17,40.64,63.5,71.12,200.66,S
10,35.56,106.68,66.04,180.34,S
25,50.8,106.68,71.12,152.4,S
32,48.26,91.44,20.32,60.96,S
