Age,ShoulderWidth,ChestWidth,Waist,Hips,TotalHeight,Size
35,19,15,14,15,72,S
30,18,12,15,15,64,S
24,17,15,13,15,57,S
30,18,12,32,16,64,S
3,11,10,37,23,22,S
20,18,16,37,28,46,S
34,20,17,41,24,59,S
35,21,18,28,24,57,S
12,14,12,33,27,57,S
30,18,15,26,20,64,S
15,14,11,23,15,50,S
18,18,15,34,28,80,S
17,16,13,25,28,79,S
10,14,9,42,26,71,S
25,20,17,42,28,60,S
32,19,16,36,8,24,S
34,19,17,38,24,59,S
37,20,18,38,37,68,S
1,6,16,13,14,21,S
1,5,17,13,15,20,S
3,6,15,12,14,22,S
4,5,18,14,17,23,S
3,8,20,22,20,24,M
2,87,15,12,14,19,S
1,7,16,12,15,20,S
4,11,22,21,22,27,M
3,10,20,21,22,24,M
4,11,21,23,24,25,M
5,15,20,18,20,45,M
6,14,19,16,18,43,S
7,15,19,16,18,45,S
8,13,26,26,27,52,L
9,15,26,20,22,55,L
10,16,27,23,24,50,L
11,16,27,25,28,59,L
12,14,28,25,27,60,L
13,19,27,24,27,62,L
19,19,31,28,28,68,XL
20,17,28,26,28,67,L
21,18,28,25,27,69,L
22,28,19,22,26,68,S
23,18,28,25,26,69,L
24,18,28,24,26,72,L
25,20,37,26,27,74,XL
26,20,38,28,27,85,XL
27,20,31,32,38,86,XL
20,20,32,32,32,89,XL
1,6,15,12,14,19,S
1,5,16,13,15,20,S
4,9,22,21,20,38,M
4,11,23,24,24,44,M
1,9,21,22,20,31,M
3,9,22,22,20,20,M
3,8,20,22,20,24,M
1,7,16,12,14,25,S
3,10,20,23,21,19,M
4,11,22,21,22,27,M
5,14,18,16,18,43,S
6,15,19,19,15,51,S
7,16,19,20,22,56,S
8,15,20,21,20,61,M
9,16,22,23,22,61,M
10,13,26,27,26,71,L
11,16,28,24,25,72,L
12,15,17,24,26,71,S
13,16,27,24,28,73,L
15,17,28,24,25,78,L
17,18,29,27,28,79,L
17,18,29,28,29,79,L
18,19,28,27,28,80,L
18,19,28,27,28,82,L
20,19,28,28,28,82,L
20,19,29,27,28,87,L
21,17,38,28,27,85,XL
21,18,32,31,31,86,XL
21,20,31,32,26,89,XL
1,6,15,12,14,20,S
1,5,16,13,15,21,S
1,5,17,13,15,22,S
1,5,17,14,16,23,S
1,5,18,14,17,24,S
5,14,19,16,18,43,S
5,15,20,16,18,44,M
5,15,20,18,20,45,M
10,12,25,26,24,51,M
10,12,25,27,26,52,M
10,13,26,26,27,52,L
9,14,26,23,29,53,L
11,15,26,20,22,54,L
11,16,27,23,24,55,L
11,16,28,26,28,56,L
12,17,28,25,27,57,L
12,16,27,25,28,59,L
12,18,28,25,27,59,L
13,18,27,25,27,62,L
14,18,28,25,27,63,L
19,18,30,26,29,65,XL
17,18,30,26,29,56,XL
19,26,31,28,29,68,XL
18,19,32,27,29,67,XL
19,20,31,26,29,69,XL
19,18,28,25,27,68,L
20,17,28,26,28,69,L
20,18,28,25,26,68,L
22,20,27,26,28,72,L
2,9,8,18,20,31,S
2,9,9,19,21,35,S
3,8,11,12,11,32,S
4,8,10,16,10,35,S
4,10,10,20,20,38,S
4,10,10,20,20,38,S
4,11,11,22,22,39,S
4,11,10,20,21,37,S
4,11,11,22,22,39,S
5,10,9,23,24,42,S
6,9,9,20,20,37,S
6,10,6,20,19,38,S
6,9,10,21,20,39,S
8,18,9,12,9,42,S
11,13,11,22,11,50,S
12,11,9,22,10,50,S
15,17,15,38,42,59,S
18,19,17,42,46,66,S
14,14,16,20,38,64,S
20,18,19,37,39,59,S
29,21,19,38,44,66,S
37,17,14,33,37,68,S
49,19,17,48,63,60,S
52,16,17,14,45,60,S
23,18,16,47,62,62,S
40,18,14,45,46,70,S
51,19,15,36,39,65,S
65,18,16,39,41,68,S
62,21,20,45,44,67,M
65,18,16,39,41,68,S
46,21,18,43,45,64,S
65,17,16,39,40,64,S
44,19,17,44,44,69,S
40,18,14,45,46,70,S
68,18,17,37,37,64,S
44,19,17,44,45,67,S
37,17,15,33,37,68,S
51,19,15,36,39,65,S
39,17,16,36,37,67,S
51,18,19,35,39,68,S
29,21,17,38,44,66,S
18,19,16,42,46,64,S
18,15,15,38,40,60,S
16,18,20,32,32,61,M
18,19,23,37,40,59,M
24,16,17,41,45,65,S
52,16,9,41,45,60,S
1,9,16,18,21,35,S
14,18,17,20,38,64,S
49,19,15,48,63,60,S
15,17,10,38,42,59,S
8,11,9,24,26,49,S
5,10,8,23,24,42,S
1,9,16,18,20,31,S
28,18,16,47,62,62,S
21,18,19,45,59,60,S
20,18,19,37,39,59,S
10,14,12,25,12,52,S
7,11,9,22,9,45,S
7,12,10,22,11,47,S
6,9,9,20,10,37,S
7,12,9,23,9,41,S
12,11,9,22,10,50,S
10,12,9,22,12,44,S
7,11,8,22,11,46,S
6,12,9,23,10,45,S
7,13,11,21,10,45,S
9,11,10,24,11,50,S
6,9,9,20,10,37,S
6,10,9,20,10,36,S
6,10,6,21,10,37,S
